@relation avro_Training_15

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
24,1,2,48,48,24.00,24,48,24,0,1,24.00,0.00,NO
25,1,3,59,56,18.67,28,59,28,0,1,19.67,30.00,NO
339,1,12,813,726,60.50,300,677,300,0,57,56.42,6.45,NO
725,1,15,1648,1412,94.13,451,1286,451,0,154,85.73,5.07,NO
24,1,2,48,48,24.00,24,48,24,0,1,24.00,0.00,NO
218,1,5,466,446,89.20,208,428,208,0,40,85.60,18.75,NO
193,1,5,402,389,77.80,183,376,183,0,18,75.20,18.75,YES
32,1,2,64,64,32.00,32,64,32,0,5,32.00,0.00,NO
36,1,2,72,72,36.00,36,72,36,0,5,36.00,0.00,YES
36,1,3,75,74,24.67,37,75,37,0,1,25.00,30.00,NO
279,1,9,569,549,61.00,250,545,250,0,97,60.56,7.50,NO
462,1,14,1483,1105,78.93,265,1087,265,0,130,77.64,6.38,YES
252,1,8,541,479,59.88,164,433,164,0,52,54.13,10.71,YES
24,1,1,24,24,24.00,24,24,24,0,1,24.00,0.00,NO
28,1,2,56,56,28.00,28,56,28,0,1,28.00,0.00,NO
57,1,5,144,129,25.80,57,128,57,0,5,25.60,18.75,NO
54,1,4,135,121,30.25,53,111,53,0,4,27.75,25.00,NO
300,1,2,310,305,152.50,305,310,305,0,53,155.00,2.00,NO
250,1,2,282,266,133.00,266,282,266,0,30,141.00,2.00,NO
622,1,1,622,622,622.00,622,622,622,0,85,622.00,0.00,YES
37,1,4,85,81,20.25,39,79,39,0,2,19.75,25.00,NO
35,1,4,79,75,18.75,36,73,36,0,2,18.25,25.00,NO
287,1,2,291,289,144.50,279,289,279,0,23,144.50,2.00,NO
275,1,2,281,278,139.00,269,275,269,0,24,137.50,2.00,NO
383,1,1,383,383,383.00,383,383,383,0,34,383.00,0.00,NO
223,1,1,223,223,223.00,223,223,223,0,51,223.00,0.00,NO
489,1,1,489,489,489.00,489,489,489,0,93,489.00,0.00,NO
358,1,1,358,358,358.00,358,358,358,0,78,358.00,0.00,NO
225,1,1,225,225,225.00,225,225,225,0,33,225.00,0.00,NO
40,1,3,92,88,29.33,44,92,44,0,1,30.67,30.00,NO
86,1,5,189,172,34.40,69,165,69,0,13,33.00,14.25,NO
87,1,3,176,175,58.33,87,174,87,0,6,58.00,28.50,NO
183,1,7,382,335,47.86,105,314,105,0,27,44.86,13.83,NO
174,1,8,378,338,42.25,124,336,124,0,22,42.00,12.14,NO
110,1,4,294,261,65.25,118,268,118,0,12,67.00,20.00,NO
93,1,3,180,180,60.00,87,180,87,0,11,60.00,27.00,NO
42,1,3,82,82,27.33,40,82,40,0,5,27.33,27.00,NO
30,1,1,30,30,30.00,30,30,30,0,1,30.00,0.00,YES
244,1,8,500,469,58.63,194,448,194,0,76,56.00,8.57,YES
118,1,7,336,273,39.00,92,282,92,0,11,40.29,10.00,YES
67,1,7,187,158,22.57,61,159,61,0,4,22.71,12.50,YES
85,1,4,186,174,43.50,77,162,77,0,8,40.50,25.00,NO
124,1,7,282,262,37.43,118,252,118,0,35,36.00,12.50,NO
105,1,3,203,196,65.33,84,193,84,0,20,64.33,3.00,NO
28,1,3,62,59,19.67,28,56,28,0,2,18.67,3.00,NO
269,1,11,556,525,47.73,225,502,225,0,63,45.64,5.40,NO
48,1,7,433,303,43.29,125,381,125,0,1,54.43,10.00,YES
36,1,5,111,95,19.00,43,97,43,0,1,19.40,15.00,YES
40,1,1,40,40,40.00,40,40,40,0,1,40.00,0.00,NO
28,1,1,28,28,28.00,28,28,28,0,1,28.00,0.00,NO
28,1,3,62,60,20.00,30,62,30,0,1,20.67,30.00,NO
64,1,1,64,64,64.00,64,64,64,0,9,64.00,0.00,NO
56,1,3,121,115,38.33,53,111,53,0,3,37.00,2.50,YES
41,1,3,105,96,32.00,46,97,46,0,1,32.33,30.00,YES
80,1,2,160,160,80.00,80,160,80,0,12,80.00,0.00,NO
622,1,1,622,622,622.00,622,622,622,0,85,622.00,0.00,NO
471,1,4,811,696,174.00,426,667,423,0,54,166.75,19.00,NO
