InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,45,0.9998199819981998,YES
1,79,0.9998199819981998,YES
2,67,1.8001800180018E-4,NO
3,45,0.9998199819981998,YES
4,28,0.9998199819981998,NO
5,28,0.9998199819981998,NO
6,564,1.8001800180018E-4,YES
7,1492,0.9998199819981998,NO
8,174,0.9998199819981998,NO
9,25,0.9998199819981998,NO
10,39,0.9998199819981998,NO
11,47,0.9998199819981998,NO
12,184,1.8001800180018E-4,NO
13,30,0.9998199819981998,NO
14,221,1.8001800180018E-4,NO
15,50,0.9998199819981998,NO
16,101,0.9998199819981998,NO
17,41,0.9998199819981998,NO
18,250,1.8001800180018E-4,NO
19,227,1.8001800180018E-4,NO
20,363,0.9998199819981998,NO
21,408,0.9998199819981998,NO
22,145,0.9998199819981998,NO
23,49,0.9998199819981998,NO
24,85,6.0020406938359045E-5,NO
25,64,0.9998199819981998,NO
26,42,0.9998199819981998,NO
27,36,0.9998199819981998,NO
28,37,0.9998199819981998,NO
29,83,0.9998199819981998,NO
30,32,0.9998199819981998,NO
31,26,0.9998199819981998,NO
32,883,1.8001800180018E-4,YES
33,421,1.8001800180018E-4,NO
34,213,1.8001800180018E-4,YES
35,24,0.9998199819981998,NO
36,24,1.8001800180018E-4,NO
37,27,0.9998199819981998,NO
38,259,0.9998199819981998,NO
39,30,0.9998199819981998,NO
40,428,0.9998199819981998,NO
41,981,1.8001800180018E-4,NO
42,126,1.8001800180018E-4,NO
43,562,0.9998199819981998,NO
44,226,1.8001800180018E-4,NO
45,37,0.9998199819981998,NO
46,35,0.9998199819981998,NO
47,283,0.9998199819981998,NO
48,316,1.8001800180018E-4,NO
49,204,1.8001800180018E-4,NO
50,133,0.9998199819981998,NO
51,298,0.9998199819981998,NO
52,336,0.9998199819981998,NO
53,701,1.8001800180018E-4,NO
54,301,1.8001800180018E-4,NO
55,76,0.9998199819981998,NO
56,69,0.9998199819981998,NO
57,266,1.8001800180018E-4,NO
58,253,0.9998199819981998,NO
59,217,0.9998199819981998,NO
60,100,1.8001800180018E-4,NO
61,191,1.8001800180018E-4,NO
62,476,1.8001800180018E-4,NO
63,95,0.9998199819981998,NO
64,551,1.8001800180018E-4,NO
65,136,1.8001800180018E-4,NO
66,33,0.9998199819981998,NO
67,496,1.8001800180018E-4,YES
68,156,1.8001800180018E-4,NO
69,113,1.8001800180018E-4,NO
70,34,0.9998199819981998,NO
71,39,0.9998199819981998,NO
72,36,0.9998199819981998,NO
73,288,1.8001800180018E-4,YES
