InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.014080436253976692,NO,22
1,0.014739324993478669,NO,44
2,0.014358086028307251,NO,34
3,0.0028371147479198146,NO,19
4,0.0028077389337441607,NO,8
5,0.0028077389337441607,NO,7
6,0.11163691805631018,NO,326
7,1.0,NO,1161
8,0.0027958851555874528,NO,5
9,0.002821473133235936,NO,16
10,0.0028077389337441607,NO,11
11,0.007523135245634527,NO,143
12,0.0027958851555874528,NO,4
13,0.004725994151781625,NO,135
14,0.0028250920356104594,NO,16
15,0.0029489316012689085,NO,40
16,0.002821473133235936,NO,16
17,0.0075186579821907825,NO,169
18,0.0075186579821907825,NO,168
19,0.024530951160151186,NO,261
20,0.021548810809536575,NO,275
21,0.003547060778855643,NO,97
22,0.002840533776953526,NO,12
23,0.003094998303943751,NO,53
24,0.0029391527461609663,NO,35
25,0.0032383711457309437,NO,18
26,0.002840533776953526,NO,13
27,0.002826707058201696,NO,9
28,0.003052622802570106,NO,50
29,0.0027958851555874528,NO,6
30,0.0027958851555874528,NO,5
31,0.9999999990954168,NO,702
32,0.44062888907930187,NO,261
33,0.011095643049398918,NO,137
34,0.0027958851555874528,NO,4
35,0.0027958851555874528,NO,4
36,0.0027958851555874528,NO,5
37,0.004157339395331004,NO,120
38,0.0027958851555874528,NO,5
39,0.13930028936984656,NO,346
40,0.9974084077058867,NO,652
41,0.003465626281729228,NO,68
42,0.11613224818780163,NO,363
43,0.005149841110707398,NO,126
44,0.0028113402699048054,NO,7
45,0.0028113402699048054,NO,7
46,0.0038586645719457095,NO,31
47,0.0036314367979100514,NO,94
48,0.006964276276637206,NO,154
49,0.0034209537450676742,NO,75
50,0.0034616015793090655,NO,40
51,0.0035200617787111855,NO,84
52,0.9999878902447915,NO,582
53,0.03205484579066288,NO,213
54,0.003830215528564554,NO,49
55,0.0029675612363588314,NO,36
56,0.011291619304581666,NO,144
57,0.011511535076065931,NO,193
58,0.0058999628645471595,NO,152
59,0.003951668396904378,NO,59
60,0.0042048311118063324,NO,98
61,0.8234774582039672,NO,363
62,0.0030352663915160444,NO,44
63,0.03157552974497859,NO,360
64,0.0037254863905823404,NO,82
65,0.0028077389337441607,NO,10
66,0.9395731238930783,NO,393
67,0.003975191760699649,NO,101
68,0.003346127064199138,NO,76
69,0.0028077389337441607,NO,10
70,0.002821473133235936,NO,12
71,0.002821473133235936,NO,12
72,0.33181452654797317,NO,210
73,0.003394117758190818,NO,40
74,0.0028779339586128675,NO,30
75,0.003193138906854048,NO,75
76,0.0028936636918021888,NO,30
77,0.0028077389337441607,NO,11
78,0.0027958851555874528,NO,4
79,0.0028936636918021888,NO,27
80,0.002821473133235936,NO,15
81,0.0031510663297135534,NO,52
82,0.0031987488734793136,NO,70
83,0.0032871737337207383,NO,81
84,0.0038374003669299304,NO,119
85,0.0036109216719342244,NO,55
86,0.003203023648683206,NO,14
87,0.9979367804869916,NO,506
88,0.0035200617787111855,NO,82
89,0.0027958851555874528,NO,5
90,0.0030220409531003033,NO,45
91,0.0030855142330975137,NO,54
92,0.003094998303943751,NO,51
93,0.003393155510597075,NO,79
94,0.0029621963522326006,NO,26
95,0.0028936636918021888,NO,27
96,0.0042649843639386035,NO,114
97,0.01999265051859883,NO,274
98,0.003809853236772804,NO,111
99,0.0038638013929308064,NO,95
100,0.0028077389337441607,NO,10
101,0.16446366748648472,NO,385
102,0.008717226520039013,NO,182
103,0.0028936636918021888,NO,30
104,0.0033018891886288627,NO,68
105,0.1253795316697223,NO,324
106,0.0028113402699048054,NO,7
107,0.003856035347504413,NO,101
108,0.003561402229742667,NO,80
109,0.0030639932320728103,NO,47
110,0.003527825198387992,NO,63
111,0.0029650482276761376,NO,40
112,0.0029931124937464582,NO,48
113,0.002899526402128751,NO,34
114,0.004267300662636537,NO,112
115,0.0037934958819645535,NO,72
116,0.0028779339586128675,NO,27
117,0.005002121344061235,NO,165
118,0.0028779339586128675,NO,28
119,0.002840753655524464,NO,19
120,0.0047860298680214445,NO,161
121,0.002840753655524464,NO,20
122,0.006066957910736549,NO,194
123,0.0029675612363588314,NO,38
124,0.008182484573312759,NO,212
125,0.0029931124937464582,NO,45
126,0.003925439457976395,NO,107
127,0.0028077389337441607,NO,11
128,0.002873979050968341,NO,22
129,0.004374192962354813,NO,126
130,0.007716266127106348,NO,191
131,0.006422420527092202,NO,198
132,0.0031282708772254267,NO,65
133,0.019442760959902813,NO,265
134,0.0030352663915160444,NO,44
135,0.005784748266527515,NO,139
136,0.0028936636918021888,NO,29
137,0.0032603483306770323,NO,66
138,0.0027994713302261164,NO,6
139,0.0028936636918021888,NO,30
140,0.003762222666707172,NO,115
141,0.0027958851555874528,NO,5
142,0.0028583560152283588,NO,23
143,0.002840753655524464,NO,20
144,0.0032871737337207383,NO,78
145,0.0031283448897064647,NO,54
146,0.0028936636918021888,NO,27
147,0.0038638013929308064,NO,91
148,0.0037281171624423855,NO,94
149,0.0032416093954646843,NO,75
150,0.0027958851555874528,NO,5
151,0.0029216337942124327,NO,26
152,0.0028936636918021888,NO,30
153,0.002899526402128751,NO,32
154,0.0030559800387859066,NO,57
155,0.002899526402128751,NO,31
156,0.0029650482276761376,NO,41
157,0.08235085236714054,NO,441
158,0.002840753655524464,NO,19
159,0.006645462664582904,NO,193
160,0.0028113402699048054,NO,11
161,0.002821473133235936,NO,12
162,0.0029153738066527725,NO,31
163,0.0036264852923467046,NO,69
164,0.002899526402128751,NO,33
165,0.0030559800387859066,NO,54
166,0.0035467003912944195,NO,54
167,0.0029931124937464582,NO,48
168,0.0035808753831988883,NO,66
169,0.0028779339586128675,NO,30
170,0.003052622802570106,NO,50
171,0.0035724494944208577,NO,52
172,0.012485874700401025,NO,117
173,0.007796370775502681,NO,70
174,0.0028077389337441607,NO,10
175,0.006489418100538366,NO,9
176,0.006489418100538366,NO,9
177,0.5643312097678466,NO,263
178,0.020221808230164378,NO,48
179,0.0033322920392724713,NO,36
180,0.15563108615818125,NO,192
181,0.0073096397586834274,NO,59
182,0.0032629114611391133,NO,27
183,0.0030909120827614395,NO,62
184,0.003546616516292037,NO,64
185,0.0028779339586128675,NO,30
186,0.0033934448452429145,NO,47
187,0.0037400595493724985,NO,107
188,0.00395521936221833,NO,95
189,0.0030639932320728103,NO,47
190,0.003052622802570106,NO,49
191,0.0030559800387859066,NO,56
192,0.00363055720790358,NO,64
193,0.003433807966988141,NO,86
194,0.0044114279987836885,NO,139
195,0.0033355390559954277,NO,85
196,0.003443074792699262,NO,85
197,0.003546616516292037,NO,65
198,0.0030559800387859066,NO,56
199,0.0028113402699048054,NO,9
200,0.003743365727540475,NO,69
