className,loc,authorsNumber,revisionsNumber,touchedLoc,totalAddedLines,averageAddedLines,maxAddedLines,totalChurn,maxChurn,numberFix,cyclomaticComplexity,averageChurn,daysBetweenCommits,buggy
"src/java/org/apache/avro/AvroRuntimeException.java",5,1,2,48,48,24.0,24,48,24,0,1,24.0,0.0,false
"src/java/org/apache/avro/AvroTypeException.java",4,1,3,59,56,18.666666,28,59,28,0,1,19.666666,30.0,false
"src/java/org/apache/avro/Protocol.java",246,1,12,813,726,60.5,300,677,300,0,58,56.416668,6.454545454545454,false
"src/java/org/apache/avro/Schema.java",599,1,15,1648,1412,94.13333,451,1286,451,0,154,85.73333,5.071428571428571,false
"src/java/org/apache/avro/SchemaParseException.java",5,1,2,48,48,24.0,24,48,24,0,1,24.0,0.0,false
"src/java/org/apache/avro/file/DataFileReader.java",159,1,5,466,446,89.2,208,428,208,0,40,85.6,18.75,false
"src/java/org/apache/avro/file/DataFileWriter.java",132,1,5,402,389,77.8,183,376,183,0,18,75.2,18.75,true
"src/java/org/apache/avro/file/SeekableFileInput.java",9,1,2,64,64,32.0,32,64,32,0,5,32.0,0.0,false
"src/java/org/apache/avro/file/SeekableInput.java",8,1,2,72,72,36.0,36,72,36,0,5,36.0,0.0,true
"src/java/org/apache/avro/generic/GenericArray.java",7,1,3,75,74,24.666666,37,75,37,0,1,25.0,30.0,false
"src/java/org/apache/avro/generic/GenericData.java",238,1,9,569,549,61.0,250,545,250,0,97,60.555557,7.5,false
"src/java/org/apache/avro/generic/GenericDatumReader.java",341,1,14,1483,1105,78.92857,265,1087,265,0,130,77.64286,6.384615384615385,true
"src/java/org/apache/avro/generic/GenericDatumWriter.java",167,1,8,541,479,59.875,164,433,164,0,52,54.125,10.714285714285714,true
"src/java/org/apache/avro/generic/GenericFixed.java",4,1,1,24,24,24.0,24,24,24,0,1,24.0,0.0,false
"src/java/org/apache/avro/generic/GenericRecord.java",6,1,2,56,56,28.0,28,56,28,0,1,28.0,0.0,false
"src/java/org/apache/avro/generic/GenericRequestor.java",30,1,5,144,129,25.8,57,128,57,0,5,25.6,18.75,false
"src/java/org/apache/avro/generic/GenericResponder.java",24,1,4,135,121,30.25,53,111,53,0,4,27.75,25.0,false
"src/java/org/apache/avro/io/BinaryDecoder.java",206,1,2,310,305,152.5,305,310,305,0,57,155.0,2.0,false
"src/java/org/apache/avro/io/BinaryEncoder.java",176,1,2,282,266,133.0,266,282,266,0,30,141.0,2.0,false
"src/java/org/apache/avro/io/BlockingBinaryEncoder.java",418,1,1,622,622,622.0,622,622,622,0,87,622.0,0.0,true
"src/java/org/apache/avro/io/DatumReader.java",7,1,4,85,81,20.25,39,79,39,0,2,19.75,25.0,false
"src/java/org/apache/avro/io/DatumWriter.java",7,1,4,79,75,18.75,36,73,36,0,2,18.25,25.0,false
"src/java/org/apache/avro/io/Decoder.java",35,1,2,291,289,144.5,279,289,279,0,57,144.5,2.0,false
"src/java/org/apache/avro/io/Encoder.java",37,1,2,281,278,139.0,269,275,269,0,52,137.5,2.0,false
"src/java/org/apache/avro/io/ParsingTable.java",241,1,1,383,383,383.0,383,383,383,0,34,383.0,0.0,false
"src/java/org/apache/avro/io/ResolvingDecoder.java",130,1,1,223,223,223.0,223,223,223,0,58,223.0,0.0,false
"src/java/org/apache/avro/io/ResolvingTable.java",383,1,1,489,489,489.0,489,489,489,0,93,489.0,0.0,false
"src/java/org/apache/avro/io/ValidatingDecoder.java",296,1,1,358,358,358.0,358,358,358,0,78,358.0,0.0,false
"src/java/org/apache/avro/io/ValidatingEncoder.java",161,1,1,225,225,225.0,225,225,225,0,33,225.0,0.0,false
"src/java/org/apache/avro/ipc/AvroRemoteException.java",15,1,3,92,88,29.333334,44,92,44,0,1,30.666666,30.0,false
"src/java/org/apache/avro/ipc/ByteBufferInputStream.java",50,1,5,189,172,34.4,69,165,69,0,17,33.0,14.25,false
"src/java/org/apache/avro/ipc/ByteBufferOutputStream.java",53,1,3,176,175,58.333332,87,174,87,0,6,58.0,28.5,false
"src/java/org/apache/avro/ipc/Requestor.java",135,1,7,382,335,47.857143,105,314,105,0,27,44.857143,13.833333333333334,false
"src/java/org/apache/avro/ipc/Responder.java",123,1,8,378,338,42.25,124,336,124,0,22,42.0,12.142857142857142,false
"src/java/org/apache/avro/ipc/SocketServer.java",74,1,4,294,261,65.25,118,268,118,0,12,67.0,20.0,false
"src/java/org/apache/avro/ipc/SocketTransceiver.java",62,1,3,180,180,60.0,87,180,87,0,11,60.0,27.0,false
"src/java/org/apache/avro/ipc/Transceiver.java",16,1,3,82,82,27.333334,40,82,40,0,5,27.333334,27.0,false
"src/java/org/apache/avro/reflect/FixedSize.java",9,1,1,30,30,30.0,30,30,30,0,1,30.0,0.0,true
"src/java/org/apache/avro/reflect/ReflectData.java",191,1,8,500,469,58.625,194,448,194,0,77,56.0,8.571428571428571,true
"src/java/org/apache/avro/reflect/ReflectDatumReader.java",85,1,7,336,273,39.0,92,282,92,0,11,40.285713,10.0,true
"src/java/org/apache/avro/reflect/ReflectDatumWriter.java",39,1,7,187,158,22.571428,61,159,61,0,4,22.714285,12.5,true
"src/java/org/apache/avro/reflect/ReflectRequestor.java",54,1,4,186,174,43.5,77,162,77,0,8,40.5,25.0,false
"src/java/org/apache/avro/reflect/ReflectResponder.java",88,1,7,282,262,37.42857,118,252,118,0,35,36.0,12.5,false
"src/java/org/apache/avro/specific/ProtocolTask.java",72,1,3,203,196,65.333336,84,193,84,0,20,64.333336,3.0,false
"src/java/org/apache/avro/specific/SchemaTask.java",8,1,3,62,59,19.666666,28,56,28,0,2,18.666666,3.0,false
"src/java/org/apache/avro/specific/SpecificCompiler.java",212,1,11,556,525,47.727272,225,502,225,0,63,45.636364,5.4,false
"src/java/org/apache/avro/specific/SpecificDatumReader.java",24,1,7,433,303,43.285713,125,381,125,0,1,54.42857,10.0,true
"src/java/org/apache/avro/specific/SpecificDatumWriter.java",13,1,5,111,95,19.0,43,97,43,0,1,19.4,15.0,true
"src/java/org/apache/avro/specific/SpecificExceptionBase.java",15,1,1,40,40,40.0,40,40,40,0,1,40.0,0.0,false
"src/java/org/apache/avro/specific/SpecificFixed.java",8,1,1,28,28,28.0,28,28,28,0,1,28.0,0.0,false
"src/java/org/apache/avro/specific/SpecificRecord.java",7,1,3,62,60,20.0,30,62,30,0,1,20.666666,30.0,false
"src/java/org/apache/avro/specific/SpecificRecordBase.java",37,1,1,64,64,64.0,64,64,64,0,9,64.0,0.0,false
"src/java/org/apache/avro/specific/SpecificRequestor.java",30,1,3,121,115,38.333332,53,111,53,0,3,37.0,2.5,true
"src/java/org/apache/avro/specific/SpecificResponder.java",17,1,3,105,96,32.0,46,97,46,0,1,32.333332,30.0,true
"src/java/org/apache/avro/util/Utf8.java",51,1,2,160,160,80.0,80,160,80,0,12,80.0,0.0,false
"src/java/org/apache/avro/io/BlockingValueWriter.java",418,1,1,622,622,622.0,622,622,622,0,87,622.0,0.0,false
