InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.0023895226409042106,NO
1,271,0.001567132696943041,YES
2,458,0.0016131962396117474,YES
3,137,0.0014250096232305757,NO
4,357,0.0015885322057458695,NO
5,1243,0.9999671596972202,YES
6,51,0.0013144245717990164,NO
7,154,0.0014614996081103676,NO
8,31,0.0013144245717990164,NO
9,934,0.019831152716833642,YES
10,180,0.0023035262868161964,NO
11,260,0.001567132696943041,NO
12,584,0.03243017896847268,YES
13,40,0.0013144245717990164,NO
14,372,0.008553937599571411,NO
15,388,0.001603873236025363,NO
16,51,0.0013144245717990164,NO
17,609,0.08295976326814639,YES
18,32,0.0013144245717990164,NO
19,66,0.0013144245717990164,NO
20,180,0.010412007961534374,YES
21,587,0.08295976326814639,NO
22,164,0.01722332443103481,NO
23,50,0.0013840117555189457,NO
24,27,0.0012716258853173257,NO
25,938,0.4279250917331483,NO
26,60,0.0013144245717990164,NO
27,62,0.0013144245717990164,NO
28,87,0.001353363887809157,NO
29,52,0.0013144245717990164,NO
30,270,0.02858223271478553,NO
31,163,0.0014614996081103676,NO
32,109,0.002108983413066105,NO
33,147,0.0014614996081103676,NO
34,58,0.0013144245717990164,NO
35,44,0.0013144245717990164,NO
36,106,0.007343372680389242,NO
37,151,0.006346732064114439,NO
38,352,0.00706428407522414,YES
39,715,0.11579210013067694,YES
40,876,0.0634600250677601,YES
41,356,0.011268957015921741,YES
42,27,0.0055265640864998146,NO
43,55,0.0013144245717990164,NO
44,191,0.0014614996081103676,NO
45,90,0.001353363887809157,NO
46,271,0.006695004805719189,YES
47,137,0.002166105213667685,NO
48,79,0.0013144245717990164,NO
49,82,0.0013144245717990164,NO
50,147,0.0013880218023618813,NO
51,422,0.0015640545629994188,YES
52,1030,0.6600995764580199,YES
53,529,0.07939776729299686,NO
54,189,0.0014614996081103676,YES
55,167,0.009860538490325307,YES
56,84,0.001353363887809157,NO
57,195,0.005834854099772483,YES
58,374,0.006745456649018491,YES
59,126,0.0014250096232305757,YES
60,106,0.0025870717232365768,YES
61,109,0.001353363887809157,NO
62,85,0.001353363887809157,NO
63,236,0.0022694939400951194,NO
64,314,0.002297434917580693,YES
65,813,0.02651958772398077,YES
66,27,0.0012716258853173257,NO
67,89,0.001353363887809157,NO
68,300,0.030812122053618055,YES
69,166,0.2306977376411745,NO
70,92,0.001353363887809157,NO
71,492,0.9971504165810985,YES
72,93,0.001353363887809157,NO
73,244,0.0014930786064799929,NO
74,183,0.00750457946061768,YES
75,250,0.001567132696943041,NO
76,109,0.0014250096232305757,YES
77,602,0.08540439336778091,YES
78,565,0.02015209365870653,YES
79,69,0.0013840117555189457,NO
80,77,0.0013144245717990164,NO
81,97,0.007278123286129168,NO
82,337,0.0025421406493542635,NO
83,214,0.0014930786064799929,NO
84,79,0.0013144245717990164,NO
85,25,0.0012716258853173257,NO
86,84,0.001353363887809157,NO
87,34,0.0013144245717990164,NO
88,33,0.0013144245717990164,NO
89,104,0.001353363887809157,NO
90,172,0.0013880218023618813,NO
91,70,0.0013144245717990164,NO
92,140,0.0014614996081103676,NO
93,154,0.0014614996081103676,NO
94,356,0.011956077573796848,NO
95,248,0.0015193920865794114,NO
96,276,0.007895403743435565,YES
97,176,0.0013880218023618813,NO
98,637,0.7216802124344994,YES
99,86,0.002166105213667685,NO
100,53,0.002103830769389747,NO
101,132,0.001353363887809157,YES
102,4088,2.105500318013173E-8,NO
103,577,0.020711772855762308,YES
104,758,0.5220810330118894,YES
105,101,0.0021272230191572723,NO
106,515,0.04402235144649819,YES
107,327,0.011178547470879093,YES
108,273,0.019467420133674487,YES
109,136,0.0014250096232305757,YES
110,56,0.0013144245717990164,NO
111,74,0.0013144245717990164,YES
112,359,0.12198162560082927,YES
113,174,0.0014614996081103676,NO
114,148,0.0014614996081103676,NO
115,92,0.001353363887809157,NO
116,45,0.0013144245717990164,NO
117,168,0.0014614996081103676,NO
118,77,0.0013144245717990164,NO
119,664,0.0015874262547625397,NO
120,88,0.0014250096232305757,NO
121,261,0.003548920456446269,NO
122,54,0.0013144245717990164,NO
123,51,0.005795894774165594,YES
124,140,0.002203848878260389,YES
125,152,0.0014614996081103676,NO
126,39,0.0013144245717990164,NO
127,131,0.001353363887809157,NO
128,47,0.0013144245717990164,NO
129,129,0.0014250096232305757,NO
130,43,0.0013144245717990164,NO
131,257,0.006837225517328339,NO
132,62,0.0013144245717990164,NO
133,45,0.0013144245717990164,NO
134,94,0.001353363887809157,NO
135,72,0.0013144245717990164,NO
136,42,0.0013144245717990164,NO
137,48,0.0013144245717990164,NO
138,89,0.001353363887809157,NO
139,380,0.001555085901031469,NO
140,138,0.0014614996081103676,NO
141,142,0.0014614996081103676,NO
142,191,0.0014614996081103676,NO
143,46,0.0013144245717990164,NO
144,165,0.0013880218023618813,NO
145,171,0.0013880218023618813,NO
146,56,0.0013144245717990164,NO
147,179,0.0014614996081103676,NO
148,74,0.0013144245717990164,NO
149,36,0.0013144245717990164,NO
150,37,0.0013144245717990164,NO
151,34,0.0013144245717990164,NO
152,34,0.0013144245717990164,NO
153,38,0.0013144245717990164,NO
154,39,0.0013144245717990164,NO
155,156,0.0014614996081103676,NO
156,84,0.001353363887809157,NO
157,117,0.001353363887809157,NO
158,94,0.001353363887809157,NO
159,71,0.0013144245717990164,NO
160,183,0.0013880218023618813,NO
161,85,0.001353363887809157,NO
162,183,0.0014614996081103676,NO
163,70,0.0013144245717990164,NO
164,54,0.0013144245717990164,NO
165,160,0.0013880218023618813,NO
166,125,0.002166105213667685,NO
167,151,0.0014614996081103676,NO
168,421,0.0016298923839085518,NO
169,219,0.0014930786064799929,NO
170,50,0.0013144245717990164,NO
171,42,0.0013144245717990164,NO
172,624,0.0016032503601435153,NO
